text,label
Freddys Dead The Final Nightmare the sixth installment of the Nightmare on Elm Street series and once again another bad sequel I think this is tied up with the last sequel of the Dream Child I was lucky enough to get the Nightmare on Elm Street series box DVD set for my birthday so I got to see all the sequels May I say that Im just getting more and more disappointed though with these sequels at least the past two it just seems like Freddy lost his edge Its almost like the writers were trying to give Freddy a soul and theyre just destroying it instead of reinventing the story This was a sequel that wasnt needed sorry to Robert Englund but this was very much below what Freddy Krueger representsFreddy is back but hes got something we dont know about a daughter Maggie shes not aware that he is her father but soon she finds out what his dark secrets are and he wants her help She has to do her best to resist his powers but its hard with all the good memories she has of her loving father Ironic isnt it But Freddy isnt giving up without manipulating her into his waysFreddys Dead The Final Nightmare is also presented in 3D radical huh Note the sarcasm This is one of the worst sequels its tied up with the fifth sequel of the Nightmare on Elm Street series Id rather watch the second Nightmare on Elm Street to be honest This just had bad acting stupid editing and just over all a bad idea for a story I didnt like the concept of it and it just ruined the whole idea of who Freddy Krueger really is the death master of nightmares not Father Knows Best210,0
I love the way he experiments Ab Tak Chappan was a thrill to watch just as much Satya and company was Jatin the new comer also lived up to his role and Nana Patekar was at his best Suchak was really irritating but I think he fit the character he was playing he had really ugly teeth The story has a great progress and no songs in the movie makes it better I only wish he signs up Urmila for his other up coming movies I think they are the best director and actress combination I have seen I have not seen Naach as yet but I am looking forward for it I for some reason dont find Antra Maali that exciting to watch on the screen unlike Urmila,1
Maybe James P Lay knows what do to in the sound department if a director supervises himIn Dreamland 2007 however he cannot accomplish anything as a writer or as a directorThere is absolutely nothing in this film no story no character building no events no atmosphere no plot no twists no acting that deserves that nameIn any of those departments this movie is billions of light years behind any short film that has some actual thinking in it even a one minute oneIt has nothing to do with any of David Lynchs worksI actually think it could be used as mental torture or as negative propaganda material against the WestRecommend it only to your worst enemies,0
Classic highly influential low budget thriller that gave birth to a horror icon and launched the careers of both director Carpenter and star CurtisSeemingly unstoppable murderer escapes from mental institution and returns to his hometown where he begins to stalk a local babysitter on HalloweenHalloween is a film that never fails to live up to its reputation as a horror masterpiece Carpenters frightening story and clever direction give this film such chillingly good life that it must be seen to really be felt The direction often consists of such simple elements shadows dark streets creaking doors that it makes even the everyday setting of a small town neighborhood truly creepy Carpenter welltimes his suspense and his jolting shocks to make them the most effectively startling that in itself is a feat few horror filmmakers ever manage Plus he is wise enough to give us some truly likable young characters and a very scary villain to keep the tension all the more strong Highest kudos also go to Carpenters simple yet frighteningly unnerving music score In a sense Halloween is a fine example of a perfect horror filmThe cast is excellent Young Jamie Lee Curtis does a very nice turn as lovable babysitter Laurie Strode shes so good that she would go on to be in a number of other horror films before breaking into bigger films The great Donald Pleasants does a perfect performance as a Myers doctor whos desperate to capture him again Supporting cast Loomis Soles Castle and others are good tooSo like its own villain Halloween is an unstoppable force that never fails to thrill and chill It is a MUST for all genre fans out of,1
We so often talk of cinema landmarks Kane The Godfather A Bout de Souffle One film however is too often overlooked by serious film critics I am talking of course about the classic Doc Savage MoBThis film is not only exciting but also seriously explores the issue of exploitation of the developing nations by US imperialism Not to mention kungfuIt also possessed the greatest soundtrack in film history until of course Queens breathtaking work on Flash Gordon Although a bit of a rarity this film is well worth seeking out it will repay the effort of your search tenfold,1
Yes this is one of the greats of the black action genre Confusing mixture of racist comedy and racist violence at times reaching a disturbing pitch even for a fan of the genre this movie isnt your Shaft in the park Wonderful bits of Rudy Ray Moore comedy stand up that dont seem funny at least not to a white boy like me but great in context Much better than its dissimilar sequel The Human Tornado,1
Yes nonSingaporeans cant see whats the big deal about this film Some of the references in this film fly right over the head of foreign viewers and mostly Singaporeans are the ones who would actually get it But i plead with you foreigner look at the other crap thats been churned out from Singapore and compare it to this film Its like comparing a mules diarhhoea chunks to a little diamond This film is the first to truly show some the singapores seedy underbelly something the forces that be pretend does not exist And theres a part in the film where a gangsterahbeng in our unique colloquial ingris curses in 4 languages namely Tamil English Malay and Hokkien Well the truth is most of us can and do do that all the time The sad thing is that viewers from foreign contries will have an easier time getting their oily little claws on this gem in its country of origin it was banned initially only to be given and Rrating and that too with about 20 cuts to it Its nice to know you that one of the best creative edgy and original films ever created would be easier for you to obtain unadulterated uncensored halfway across the world than in your own nation,1
The novel WEAPON which serves as the basis for this atrocious piece of garbage is one of the best technothrillers to come down the pike in a long timeThe character of SOLO who is NOT supposed to look like a human is a wonderful creation and it was simply awful to see him reduced to just another Terminatorclone with Mario Van Peebles horrendously trying to act like a robot There is NOTHING worthwhile about this filmWhy does Hollywood insist on snapping up the rights to excellent novels and then butchering them There are so many things wrong with SOLO that listing them seems as unfair as inviting a man with no legs to a brisk game of Hopscotch Avoid this awful film and seek out the 2 novels by ROBERT MASON that feature the awesome character of SOLO The books are WEAPON and an excellent sequel SOLOBut dont pay any attention to this awful dreck of a film,0
And thats how the greatest comedy of TV started It has been 12 years since the very first episode but it has continued with the same spirit till the very last season Because thats where Friends is based on quotes Extraordinary situations are taking place among six friends who will never leave from our hearts Lets say a big thanks to Rachel Ross Monica Joey Chandler and Phoebe In our first meet we see how Rachel dumps a guy in the church how understand Monicas search for the perfect guy there is no perfect guy why all you women are obsessed with that and how your marriage can be ruined when the partner of your life discovers that shes a lesbian Till we meet Joey Phoebe and Chandler in the next episodes ENJOY FRIENDS,1
Since the past couple of days Im really hooked on the Female Scorpion series and I keep hitting myself over the head because I waited until now which is way too long before purchasing the whole box set Beast Stable is the third brilliant effort in a row and the undeniably main trump of this series is how the writers always came up with something entirely new and different for each installment Never before or after has there been an exploitation series that offered so much variety when it comes to story lines settings themes and filming styles The original more or less qualified as a socalled WomeninPrison flick but already an atypical one but you cant possibly categorize parts 2 and 3 as such since they hardly feature any footage within prison walls And the overall tone and atmosphere keeps changing with each new episode as well The first film was harsh and gritty whereas the second was psychedelic and part three is almost mainly melodramatic Dont let this last description discourage you however as Beast Stable still features more than enough exploitative themes and disturbing footage in spite of the dramatic ambiance The opening sequence for example is downright fantastic Sasori still a fugitive from the law literally chops her way to freedom on the subway when theres no other possibility than to cut off the arm of the persistent policeman that handcuffed her Her run through the city with the cutoff arm dangling on hers while the credits appear on screen accompanied by the familiar theme song is just pure and genuine exploitation gold The story compellingly continues with our heroine desperately trying to lead an anonymous life in the big city but the poor thing simply cant escape her past or even new types of agony Sasori befriends a prostitute though without exchanging dialog and takes on a job in a sewing atelier Her own retarded brother impregnates the prostitute while Sasori gets in trouble with the local pimping and underground crime network She cleverly prevents a thug from taking advantage of her body encounters a former enemy from prison and furiously avenges one of the prostitutes when she gets submitted to a barbaric abortion Meanwhile the onearmed cop continues to obsessively prowl the streets looking for retribution against Sasori Our multitalented director Shunya Ito formidably crisscrosses all these story lines to a powerful wholesome and never once loses grip on the visual aspects or ingenious filming style Beast Stable features some of the most impressive compositions and ingenious camera angles you can imagine the editing is flawless and the exterior locations are effectively depressing Those who know Sasoris character a bit are aware that the film seriously lacks memorable dialogs but this always gets widely compensated with Meiko Kajis wondrous on screen charisma and menacing grimaces Theres very little sleaze apart from the aforementioned incestuous sub plot but the brief flashes of extreme violence are terrific and the twisted ending is almost too brilliant for words In fact I think part three might just be the greatest or at least my favorite one of the series so far My only small and totally irrelevant point of criticism is regarding the ridiculous sounds one of the birds produces when Sasori is locked up in a cage That bird sounds like a ventriloquists dummy with stomach cramps,1
This movie is masterly directed by Clive barker he really knows how to establish a rapport between the audience and the characters I think there is a sequel missing for this one Barker should have dedicated to the sequel for this movie instead of doing the boring Lord of illusions that is one I think was a real garbage But I also think that because of this and because of the lack of the sequel NBreed has become a dark cult classic of horror films,1
What can you say about a short little film filled with secondary actors and no stars with absolutely no bad performances not one poorly delivered line of dialog and with the cold violence on one hand being balanced by the warm heart of the protagonists in the story Its a jewel a diamond a little valuable gem of a western that evokes the spirit and legend of the American West A West not settled by grand heroes like Hickock or Cody or Masterson or Earp but by the spread of the everyday man and woman farmers and ranch hands merchants and miners and lumbermen whores and barkeeps and entertainers of the day some looking for riches some for peace and quiet some for religious freedom It is perhaps a very spiritual story though not promoting any particular religion for even the nonMormon cowboys portrayed by Ben Johnson and Harry Carey Jr act in kind and noble ways toward everybody in the story regardless of religious affiliation and beliefs and go out of their way to promote tolerance and charity when the wagon train comes upon the stranded medicine show people And in true biblical fashion like David and Goliath or Samson and the Philistines they are the guardian angels sent to the wagon train who eventually have to go head to head with the evil incarnate Clegg clan likening them to the serpent in the Garden of Eden and regretting what it is they have to do afterward Its a sweet folkloric tale of the West that hits every target John Ford takes aim atNowadays I have a western Santa Claus whose red outfit is covered with a denim drover coat whose red stocking cap is replaced by a brown Stetson who carries a burlap bag of presents and a coil of rope To my Santa I added a Winchester rifle with a sling to put on one of his shoulders and a Colt revolver to tuck into his waistband When people at the office ask why my Santa has to carry guns I simply reply Snakes After all isnt the spirit of the Christmas season one where everybody should get what they deserve Fifty five years later especially post911 the philosophies and attributes demonstrated by the characters and story of this movie are still as relevant today as they were back then,1
I think part of the reason this movie was madeand is aimed at us gamers who actually play all the Nancy Drew PC games Theres been a lot of movies lately based on video games and I think this in one of themSo this movie does not follow any book But it does follow parts of the games I buy and play every Nancy Drew games as soon as it comes out And the games are from HerInteractive and are for girls who arent afraid of a mouse And some of these games actually won Parents Choice Gold Awards They are not only fun but you can actually learn a thing or two while playingI took two of my step children with me to go see it and they loved it The 10 yr old had started playing her first Nancy Drew game a day before I took her to see the movie and she was having so much fun playing the game I thought she would enjoy the movie as well And I was rightshe not only loved this movie but couldnt wait to get home to finish her first game and start another oneMy other step daughter is only 7 and she also loved the movie but she is still a little to young too play the games yet but she enjoys watching her sister play at times just to see whats going onThe games are based for children 10 yrs and older All the games usually get pretty descent reviews and are classified as adventure games For more information on the games just check out HerInterative Nancy Drew games So personally I thought the movie was pretty good and I will buy it when it comes out on DVD,1
Definitely not worth the rental but if you catch it on cable youll be pleasantly surprised by the cameosImans appearance is especially selfdeprecating Its also an opportunity to watch all the male supporting cast members from The Sopranos typecast themselves,0
I really wanted to like this film however after an amusing opening few minutes I hardly cracked a smile I agree there was no chemistry at all between the two leads and the other characters were cliche ridden The script totally wasted the talents of Bud Tingwell and Kim GyngellIt must be said however that there was plenty of laughter around me and even a smattering of applause at the end Perhaps I just couldnt relate to it enough Im just glad I went on cheap tickets,0
The ELITE sniper team that has inserted 24h or so earlier have instead of digging in and making them selves invisible decided to take cover behind a big rock in one of the first scenes When the hero runs to rescue his wife he actually jogs When inside a building and aiming for a target only some 2030 meter away the hero USES HIS SCOPE Besides the fact that most non elite soldiers would make that shot from the hip and still hit there is also the fact that the scope probably wouldnt be able to focus that close There is a satellite that can actually look horizontally into buildingsThe list is endless and the film is the biggest heap of crap I have ever put in my DVD player,0
I really tried to like this movie It deals with an important problem in any society sex addictionIn this story we learn that you can lose everything when youre addicted to sex In this case our main character and hero for having nonstop sex with all kinds of women crazy kinky neurotic puts in jeopardy his marriage job and even his lifeThe production values are terrible mainly the acting Oh you wont enjoy ANY of the sex scenes most of them are done in very poor taste and you might think youre watching a home made flickSecond the plot is just non sense How could such a smart and beautiful wife stand all the nasty stuff from the husband How could she believe him The threesome situation is priceless and will make you chuckle for a whileAlso the scene with the black movie theater attendant is just pointless and will leave you thinking wtf Scenes like those you will find plenty Avoid this movie Please avoid it its not soft core its not a documental its not a dramatic feature Its a pretentious effort form a so called documentary director or whateverOnly Mrs Kinskis legs on display are worth the watch I caught it on HBO and Im glad I didnt spend my money on it But those 90 minutes of my life wont come back,0
As a true lover of film I must advise you to avoid this appalling effort God knows how funding was approved Seriously this is one cinematic experience which delivers zero dramatic tension and plods along until nothing happens again and again and again The only connectivity is two scares which at least keep you awake Possiby the worst film I have ever witnessed and the acting by the female lead is bordering on criminal intent One blessing with modern technology you can fast forward and watch it on 12x and it will only last 25 minutes And you wont miss any of the plotNo idea how people find this at all interesting and some are giving it high marks,0
Weak scripts at times Yep Cheesy special effects at times Yep Deliciously guilty pleasure most of the time Yep More about Carl Kolchak and Darren McGavin Yep I always enjoyed science fiction as a kid but found so much of the DraculaFrankensteinMummyhorror stuff as just so much crap It took Abbott and Costello to give me a new perspective on the classic Universal monsters and it took Carl Kolchak to win me over to the dark side of entertainment The Duke had Rooster Cogburn Eastwood had Dirty Harry Garner had Maverick and Rockford Selleck had Magnum and Darren McGavin had Carl Kolchak Mixed in with all those weak scripts cheesy special effects that baroque group of supporting characters and actors and guest stars there was Darren McGavin as Carl Kolchak He had a wry sense of humor in spite of the danger was an idealist in his pursuit of the truth and a realist when it came to accepting the obligatory incompetence and eventual coverup by government officials Additionally unlike 98 of us Kolchak was willing to stick his neck out and do what needed to be done even if it meant his demise the end of his journalistic career or jail time For all his faults including no taste in clothes Carl Kolchak was a man of charm and wit who drove a beautiful classic yellow Mustang which was an old used car at the time on his way to save the day for humanity As good as any other fictional hero Carl Kolchak was the everyman hero brought to life every week for one season thanks to Darren McGavin Now that hes passed on and his show is on DVD I hope hes having as much fun watching me watch him have fun playing Kolchak The Night Stalker all over again,1
I absolutely love this movie Evil Dead has NOTHING on this film Night of the Demons 2 and 3 are a total bore fest but this one is a classic Its super cheesy and the acting is alright at best but what more could you want from an 80s horror movie Stooge has some of the best oneliners to ever hit the screen in this one hes my favorite character A lot of people talk about the lipstick scene in this movie but my personal favorite is the ending sadly enough has nothing to do with the main characters when the old man eats his left over Halloween apples in a pie and his throat is mangled from the inside out The sound track is awesome The scene with Angela dancing is totally creepy especially after the strobe light comes on and you can see her jump from one part of the floor to the next with every sound of a camera shutter click on the song thats playing The makeup effects in this movie are pretty sweet Angela gave me nightmares as a kid If youre the type of person who demands perfection out of your filming experience you might want to give this one a pass But if youre like me and you really dig the whole Halloween haunted house with the demons clich than this one is definitely a must own,1
Well Id have to say that I do own this film and I only like the ending The movie is boring and slow but the final fight is so funny Lets just say that if the fake bird didnt attack the main evil guy this movie would be a 0 out of 10 The bird though makes it a 3 If you are truly bored or want something terrible to watch rent this and fast forward to the final battle,0
I watched the version with pathetic American overdubs maybe this made it much worse but from what I could make out the film was pretty bad anyway It seemed low budget The visuals reminded me of a second rate TV movie random white dog substituted for Dogmatix embarrassing 60s BBC costumes etc Mainly though I feel like the characters in the movie did not behave anything like the characters in the comic and as a result I never felt willing to even try to forgive the poor look of the film It is always going to be hard to capture the feel of the comics in a film without using animation and I didnt feel this attempt was worth it ultimately,0
Unfortunately there was not a 0 for a rating or else I wouldve chosen it This movie lacks the star power that the original movie had in such abundance Carol Burnett Albert Finney Tim Curry Bernadette Peters Edward Hermann the innocence of newcomer Aileen Quinn and expert directing from seasoned pro John Huston father of actress Angelica Hustonis what made this film so charming Even the 1999 remake with Kathy Bates Victor Garber Alan Cumming and Kristin Chenoweth had more to offer than this sorry excuse for a sequel Before she did this movie all Ashley Johnson was known for was her role as little Chrissie Seaver on the prime time show Growing Pains She had a few bit parts in movies but I dont know who thought she had talent enough to carry a movie on her own And adding Joan Collins as Lady Edwina Hogbottom ridiculous They couldnt get good enough actors to play the major roles like Daddy Warbucks Miss Hannigan and Annie but they will sign Joan Collins to play some British lady It doesnt surprise me that this movie was as bad as it was The critics were right to have not agreed with this movie even if it was only made for TV it was a poor sequel to an otherwise lovable movie,0
Just plain good old stupid I mean really stupid not the good stupid like Killer Tomatoes or Ed Wood movies this is probably the most stupid movie I ever have seen To give this movie an golden Turkey is an insult to turkeys To call this movie dumb is offensive even to dumb peopleIf this is the future of American cinema and art we are better off to really start world war 3 and 4 at the same time and let the cockroaches run the show after Now I have to get drunk to wash this insult to my single braincell offThis is a really good movie if you are suicidal,0
How to summarize this film it is simply impossible Why you should see it maybe for the story very probably for the actors Giorgio Catherine above all for the universe and the poetry This is a tale Sad sometimes dark but a tale I LOVE this film Just waiting for the DVD Thank you mister Boutonnat,1
I have watched two episodes so far I really like it Even though I am no longer in college it makes me miss the wonderful college life I wish that I spent a little more time socializing I kind of identify myself with rusty When I was rushing a fraternity my big brother was not like Cappie at all I wish that I had a big brother like him So if a show like this can actually make people to identify themselves with the characters then it is a pretty good showIt is more realistic than American pie with less explicit sex jokes Can we also call this a younger version of desperate wives some of the writers must be Greeks themselves the story seems to reflect somewhat of the real fraternity and sorority life It was shot in high definition And they actually filmed outside instead of inside of studios so the picture quality is very good They could easily make this a good film Unlike a movie which can only last a few hours I can have about 45 minutes of fun watching it free on TV weeklyThe casting is excellent the actors are about the right age and they are new and fresh so that makes them more real This show practically is about everyone There are Asian and black frat boys and sorority girls in the show as well It is almost a little shocking that they had a little story about two guys in the fraternity had sex in first episode then tried to hook up again in the second episode I dont think that I have seen anything like this on TV before This show somehow reminded me about a Warner bros TV show of teenagers called Young Americans which got canceled in early 2001 In that show a girl who dressed like a man kissed a guy and that guy thought that she was a male homosexualGreek life can be fun but on the same time students have to study for exams etc by the time when people actually have some free time in their lives There is no fraternity of sorority for them to join any more I dont know how long this show will last sooner or later those people will have to graduate college too Maybe they will find some new actors for another 4 years of fun college life,1
Who is Bettie Page I certainly didnt find out while watching this movie From what I have gathered from other sources Ms Page was highly in demand in the postworld war II period as the queen of naughty pictures and that is exactly what this film depicts I never did get to know Bettie the woman though Her childhood in Tennessee was a combination of an Evangelical Christian upbringing and a sordid home life which is only hinted at The film glosses over her personal life and gets right down to the purpose of the film the naughty pictures Characters are introduced and abandoned within a few frames but there is frame after frame of Bettie in her pointy bras Bettie in her girdle and stockings Bettie in bondageetc The movie slides from black and white to color every time Ms Page visits Miami Beach Then back to her shades of gray life in New York we go Gretchen Mol portrays Bettie as one of the most dimwitted young ladies you could ever meet When Bettie confides to a friend that she missed being her High School valedictorian by getting an A rather than an A one can only assume that there were only two students in her Senior class The most interesting part of this movie is how quaint Ms Pages naughty photos seem in 2007 It is truly sad that seeing a woman trussed up like a pig on a spit wouldnt even get a hit on My Space or You Tube Im not sure if this movie was written poorly or if some crazed editor cut the thing to shreds I would only recommend it as a source for persons studying the history of odd undergarments,0
